tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
3974.00;C0B0_0;85.60;9.31;3898.00;0.28;A2A3_0;7.60;0.00;tripinfo_flow_1.6 emissions_flow_1.6;76.00;flow_1.6;0;661.89;1.09;0.00;8.28;bus;;0;0.00;167143.90;2230.76;14.11;65.49;2.76;0.00;53326.05
4625.00;C0B0_0;85.60;9.62;4548.00;0.66;A2A3_0;7.60;0.00;tripinfo_flow_1.7 emissions_flow_1.7;77.00;flow_1.7;0;661.89;1.03;0.00;8.72;bus;;0;0.00;152452.47;2061.86;12.99;59.60;2.52;0.00;48638.86
5219.00;E2D2_0;85.60;13.48;5159.00;0.80;A4B4_0;4.60;0.00;tripinfo_flow_0.4 emissions_flow_0.4;60.00;flow_0.4;0;675.81;1.05;0.00;10.18;car;;0;0.00;174021.14;1906.28;12.81;69.45;2.94;0.00;55520.91
5275.00;C0B0_0;85.60;9.25;5197.00;0.04;A2A3_0;7.60;0.00;tripinfo_flow_1.8 emissions_flow_1.8;78.00;flow_1.8;0;661.89;1.12;0.00;10.82;bus;;0;0.00;168461.60;2379.53;14.83;66.64;2.91;0.00;53746.08
5925.00;C0B0_0;85.60;9.57;5847.00;0.42;A2A3_0;7.60;0.00;tripinfo_flow_1.9 emissions_flow_1.9;78.00;flow_1.9;0;661.89;0.99;0.00;9.91;bus;;0;0.00;156517.18;2214.28;13.81;62.19;2.74;0.00;49935.26
6513.00;E2D2_0;85.60;11.83;6448.00;0.25;A4B4_0;4.60;0.00;tripinfo_flow_0.5 emissions_flow_0.5;65.00;flow_0.5;0;675.81;0.93;0.00;11.12;car;;0;0.00;170134.36;1990.67;13.16;67.98;2.92;0.00;54280.48
6577.00;C0B0_0;85.60;9.53;6497.00;0.80;A2A3_0;7.60;0.00;tripinfo_flow_1.10 emissions_flow_1.10;80.00;flow_1.10;0;661.89;0.88;0.00;11.00;bus;;0;0.00;164898.28;2366.25;14.71;66.02;2.94;0.00;52608.96
7224.00;C0B0_0;85.60;9.85;7146.00;0.18;A2A3_0;7.60;0.00;tripinfo_flow_1.11 emissions_flow_1.11;78.00;flow_1.11;0;661.89;0.94;0.00;9.70;bus;;0;0.00;170361.82;2357.04;14.76;66.93;2.87;0.00;54352.53
7802.00;E2D2_0;85.60;11.94;7738.00;0.70;A4B4_0;4.60;0.00;tripinfo_flow_0.6 emissions_flow_0.6;64.00;flow_0.6;0;675.81;0.94;0.00;10.41;car;;0;0.00;165926.36;1869.06;12.45;65.51;2.74;0.00;52938.32
7872.00;C0B0_0;85.60;9.71;7796.00;0.56;A2A3_0;7.60;0.00;tripinfo_flow_1.12 emissions_flow_1.12;76.00;flow_1.12;0;661.89;1.16;0.00;8.91;bus;;0;0.00;159714.96;2180.15;13.71;62.82;2.69;0.00;50955.77
8523.00;C0B0_0;85.60;9.75;8446.00;0.94;A2A3_0;7.60;0.00;tripinfo_flow_1.13 emissions_flow_1.13;77.00;flow_1.13;0;661.89;1.02;0.00;8.90;bus;;0;0.00;167894.15;2292.32;14.39;65.46;2.76;0.00;53565.42
9087.00;E2D2_0;85.60;12.87;9027.00;0.15;A4B4_0;4.60;0.00;tripinfo_flow_0.7 emissions_flow_0.7;60.00;flow_0.7;0;675.81;1.01;0.00;10.12;car;;0;0.00;171196.26;1962.90;13.01;69.38;3.04;0.00;54619.20
9174.00;C0B0_0;85.60;8.95;9095.00;0.32;A2A3_0;7.60;0.00;tripinfo_flow_1.14 emissions_flow_1.14;79.00;flow_1.14;0;661.89;0.97;0.00;10.71;bus;;0;0.00;163288.36;2312.66;14.44;65.43;2.91;0.00;52095.37
9825.00;C0B0_0;85.60;9.83;9745.00;0.70;A2A3_0;7.60;0.00;tripinfo_flow_1.15 emissions_flow_1.15;80.00;flow_1.15;0;661.89;0.89;0.00;10.82;bus;;0;0.00;170674.42;2440.26;15.12;66.73;2.88;0.00;54452.23
10389.00;E2D2_0;85.60;10.87;10317.00;0.60;A4B4_0;4.60;0.00;tripinfo_flow_0.8 emissions_flow_0.8;72.00;flow_0.8;0;675.81;0.83;0.00;10.76;car;;0;0.00;161648.50;2000.26;12.99;63.79;2.69;0.00;51573.02
10474.00;C0B0_0;85.60;9.16;10394.00;0.08;A2A3_0;7.60;0.00;tripinfo_flow_1.16 emissions_flow_1.16;80.00;flow_1.16;0;661.89;0.87;0.00;10.98;bus;;0;0.00;167616.79;2415.65;14.96;66.07;2.89;0.00;53476.55
11123.00;C0B0_0;85.60;9.95;11044.00;0.46;A2A3_0;7.60;0.00;tripinfo_flow_1.17 emissions_flow_1.17;79.00;flow_1.17;0;661.89;0.92;0.00;10.91;bus;;0;0.00;169017.93;2389.79;14.88;66.64;2.90;0.00;53923.63
11669.00;E2D2_0;85.60;12.26;11606.00;0.05;A4B4_0;4.60;0.00;tripinfo_flow_0.9 emissions_flow_0.9;63.00;flow_0.9;0;675.81;0.95;0.00;10.12;car;;0;0.00;162632.71;1828.66;12.27;65.57;2.81;0.00;51887.08
11772.00;C0B0_0;85.60;9.46;11694.00;0.84;A2A3_0;7.60;0.00;tripinfo_flow_1.18 emissions_flow_1.18;78.00;flow_1.18;0;661.89;1.13;0.00;10.22;bus;;0;0.00;171984.88;2406.66;15.01;67.27;2.88;0.00;54870.39
12420.00;C0B0_0;85.60;9.27;12343.00;0.22;A2A3_0;7.60;0.00;tripinfo_flow_1.19 emissions_flow_1.19;77.00;flow_1.19;0;661.89;0.93;0.00;8.84;bus;;0;0.00;160177.29;2168.80;13.68;63.25;2.71;0.00;51103.23
12955.00;E2D2_0;85.60;13.86;12896.00;0.50;A4B4_0;4.60;0.00;tripinfo_flow_0.10 emissions_flow_0.10;59.00;flow_0.10;0;675.81;1.18;0.00;9.58;car;;0;0.00;168081.48;1762.52;12.04;67.33;2.83;0.00;53625.92
13069.00;C0B0_0;85.60;9.84;12993.00;0.60;A2A3_0;7.60;0.00;tripinfo_flow_1.20 emissions_flow_1.20;76.00;flow_1.20;0;661.89;1.15;0.00;9.05;bus;;0;0.00;160751.13;2203.03;13.85;63.58;2.74;0.00;51286.24
13721.00;C0B0_0;85.60;8.93;13643.00;0.98;A2A3_0;7.60;0.00;tripinfo_flow_1.21 emissions_flow_1.21;78.00;flow_1.21;0;661.89;1.01;0.00;10.27;bus;;0;0.00;164089.73;2322.57;14.46;64.81;2.82;0.00;52351.30
14245.00;E2D2_0;85.60;13.36;14186.00;0.95;A4B4_0;4.60;0.00;tripinfo_flow_0.11 emissions_flow_0.11;59.00;flow_0.11;0;675.81;1.17;0.00;9.66;car;;0;0.00;169934.29;1803.60;12.24;67.90;2.86;0.00;54217.11
14370.00;C0B0_0;85.60;9.12;14292.00;0.36;A2A3_0;7.60;0.00;tripinfo_flow_1.22 emissions_flow_1.22;78.00;flow_1.22;0;661.89;0.99;0.00;9.91;bus;;0;0.00;158794.16;2238.39;13.96;62.77;2.74;0.00;50661.80
15019.00;C0B0_0;85.60;8.94;14942.00;0.74;A2A3_0;7.60;0.00;tripinfo_flow_1.23 emissions_flow_1.23;77.00;flow_1.23;0;661.89;1.02;0.00;9.10;bus;;0;0.00;160008.78;2208.79;13.86;63.26;2.74;0.00;51049.38
15538.00;E2D2_0;85.60;12.26;15475.00;0.40;A4B4_0;4.60;0.00;tripinfo_flow_0.12 emissions_flow_0.12;63.00;flow_0.12;0;675.81;0.97;0.00;10.71;car;;0;0.00;171738.90;1876.09;12.54;67.41;2.79;0.00;54793.09
15667.00;C0B0_0;85.60;9.37;15591.00;0.12;A2A3_0;7.60;0.00;tripinfo_flow_1.24 emissions_flow_1.24;76.00;flow_1.24;0;661.89;1.18;0.00;8.64;bus;;0;0.00;165151.12;2225.82;14.04;64.60;2.72;0.00;52690.27
16319.00;C0B0_0;85.60;9.85;16241.00;0.50;A2A3_0;7.60;0.00;tripinfo_flow_1.25 emissions_flow_1.25;78.00;flow_1.25;0;661.89;1.10;0.00;10.67;bus;;0;0.00;169236.55;2414.63;15.01;67.05;2.94;0.00;53993.26
16831.00;E2D2_0;85.60;12.35;16765.00;0.85;A4B4_0;4.60;0.00;tripinfo_flow_0.13 emissions_flow_0.13;66.00;flow_0.13;0;675.81;0.90;0.00;9.95;car;;0;0.00;171418.78;2000.66;13.24;68.15;2.88;0.00;54690.32
16968.00;C0B0_0;85.60;9.04;16891.00;0.88;A2A3_0;7.60;0.00;tripinfo_flow_1.26 emissions_flow_1.26;77.00;flow_1.26;0;661.89;1.03;0.00;9.31;bus;;0;0.00;166586.03;2313.87;14.49;65.90;2.86;0.00;53147.76
17618.00;C0B0_0;85.60;9.76;17540.00;0.26;A2A3_0;7.60;0.00;tripinfo_flow_1.27 emissions_flow_1.27;78.00;flow_1.27;0;661.89;0.96;0.00;9.61;bus;;0;0.00;164103.75;2321.48;14.49;65.55;2.90;0.00;52355.58
18114.00;E2D2_0;85.60;13.32;18054.00;0.30;A4B4_0;4.60;0.00;tripinfo_flow_0.14 emissions_flow_0.14;60.00;flow_0.14;0;675.81;1.09;0.00;10.44;car;;0;0.00;166900.55;1867.71;12.38;66.44;2.84;0.00;53249.15
18267.00;C0B0_0;85.60;8.80;18190.00;0.64;A2A3_0;7.60;0.00;tripinfo_flow_1.28 emissions_flow_1.28;77.00;flow_1.28;0;661.89;1.04;0.00;8.96;bus;;0;0.00;167999.44;2226.48;14.10;65.37;2.72;0.00;53599.15
18916.00;C0B0_0;85.60;9.68;18839.00;0.02;A2A3_0;7.60;0.00;tripinfo_flow_1.29 emissions_flow_1.29;77.00;flow_1.29;0;661.89;1.04;0.00;8.98;bus;;0;0.00;163456.36;2217.00;13.95;63.83;2.69;0.00;52149.57
19403.00;E2D2_0;85.60;13.40;19344.00;0.75;A4B4_0;4.60;0.00;tripinfo_flow_0.15 emissions_flow_0.15;59.00;flow_0.15;0;675.81;1.09;0.00;9.64;car;;0;0.00;169900.91;1728.81;11.86;67.02;2.73;0.00;54206.78
19567.00;C0B0_0;85.60;9.25;19489.00;0.40;A2A3_0;7.60;0.00;tripinfo_flow_1.30 emissions_flow_1.30;78.00;flow_1.30;0;661.89;1.00;0.00;10.04;bus;;0;0.00;161560.74;2234.65;14.00;63.52;2.72;0.00;51544.60
20218.00;C0B0_0;85.60;9.82;20139.00;0.78;A2A3_0;7.60;0.00;tripinfo_flow_1.31 emissions_flow_1.31;79.00;flow_1.31;0;661.89;0.90;0.00;10.37;bus;;0;0.00;171134.07;2447.87;15.23;68.42;3.05;0.00;54598.48
20700.00;E2D2_0;85.60;11.89;20633.00;0.20;A4B4_0;4.60;0.00;tripinfo_flow_0.16 emissions_flow_0.16;67.00;flow_0.16;0;675.81;0.88;0.00;10.36;car;;0;0.00;162896.17;1972.73;12.92;64.90;2.78;0.00;51971.04
20868.00;C0B0_0;85.60;9.90;20788.00;0.16;A2A3_0;7.60;0.00;tripinfo_flow_1.32 emissions_flow_1.32;80.00;flow_1.32;0;661.89;0.85;0.00;11.48;bus;;0;0.00;176894.47;2490.04;15.52;69.61;3.01;0.00;56436.62
21517.00;C0B0_0;85.60;9.36;21438.00;0.54;A2A3_0;7.60;0.00;tripinfo_flow_1.33 emissions_flow_1.33;79.00;flow_1.33;0;661.89;0.85;0.00;10.74;bus;;0;0.00;164068.81;2320.78;14.47;65.29;2.87;0.00;52344.50
21982.00;E2D2_0;85.60;13.02;21923.00;0.65;A4B4_0;4.60;0.00;tripinfo_flow_0.17 emissions_flow_0.17;59.00;flow_0.17;0;675.81;1.17;0.00;9.44;car;;0;0.00;164537.06;1812.30;12.16;66.09;2.84;0.00;52494.92
22167.00;C0B0_0;85.60;8.77;22088.00;0.92;A2A3_0;7.60;0.00;tripinfo_flow_1.34 emissions_flow_1.34;79.00;flow_1.34;0;661.89;1.02;0.00;11.19;bus;;0;0.00;164091.56;2293.68;14.31;64.29;2.75;0.00;52352.05
