tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
1013.00;E2D2_0;85.60;11.87;948.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.158 emissions_flow_0.158;65.00;flow_0.158;0;675.81;0.91;0.00;9.96;car;;0;0.00;159470.67;1802.11;12.04;63.19;2.64;0.00;50878.50
1015.00;E2D2_0;85.60;12.64;954.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.159 emissions_flow_0.159;61.00;flow_0.159;0;675.81;1.14;0.00;11.27;car;;0;0.00;168913.25;1887.49;12.37;66.44;2.83;0.00;53891.62
1027.00;E2D2_0;85.60;11.20;960.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.160 emissions_flow_0.160;67.00;flow_0.160;0;675.81;0.88;0.00;9.91;car;;0;0.00;166940.37;1880.38;12.53;65.49;2.70;0.00;53261.83
1029.00;E2D2_0;85.60;12.67;966.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.161 emissions_flow_0.161;63.00;flow_0.161;0;675.81;1.08;0.00;13.13;car;;0;0.00;178217.80;1999.40;13.32;71.32;3.05;0.00;56859.69
1032.00;E2D2_0;85.60;13.20;972.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.162 emissions_flow_0.162;60.00;flow_0.162;0;675.81;0.99;0.00;9.73;car;;0;0.00;173017.84;1935.14;12.98;70.41;3.07;0.00;55200.33
1038.00;E2D2_0;85.60;13.45;978.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.163 emissions_flow_0.163;60.00;flow_0.163;0;675.81;1.13;0.00;10.44;car;;0;0.00;168652.46;1817.59;12.14;66.56;2.79;0.00;53808.38
1045.00;E2D2_0;85.60;13.21;984.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.164 emissions_flow_0.164;61.00;flow_0.164;0;675.81;1.05;0.00;10.35;car;;0;0.00;167731.04;1905.44;12.70;67.28;2.90;0.00;53513.83
1054.00;E2D2_0;85.60;12.55;990.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.165 emissions_flow_0.165;64.00;flow_0.165;0;675.81;0.91;0.00;9.94;car;;0;0.00;166558.20;1883.24;12.63;66.72;2.84;0.00;53139.55
1057.00;E2D2_0;85.60;13.28;996.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.166 emissions_flow_0.166;61.00;flow_0.166;0;675.81;1.00;0.00;10.70;car;;0;0.00;179552.41;2040.94;13.71;73.09;3.20;0.00;57285.04
1061.00;E2D2_0;85.60;12.68;1002.00;0.00;A4B4_0;4.60;0.00;tripinfo_flow_0.167 emissions_flow_0.167;59.00;flow_0.167;0;675.81;1.03;0.00;9.87;car;;0;0.00;166201.80;1804.23;12.12;66.73;2.87;0.00;53026.15
