tripinfo_id,tripinfo_vType,day,sim,CO2_abs,departDelay,waitingTime,waitingCount,timeLoss
flow_0.239,car,1,1,265861.033054,0.6,29.0,1,46.48
flow_0.240,car,1,1,258217.04409,0.0,29.0,1,45.39
flow_0.241,car,1,1,249172.338321,0.4,26.0,1,43.21
flow_0.242,car,1,1,239364.68286,0.8,22.0,1,38.2
flow_0.243,car,1,1,233168.815736,0.2,18.0,1,37.06
flow_0.244,car,1,1,231927.546302,0.6,19.0,1,34.34
flow_0.245,car,1,1,231678.877706,0.0,17.0,1,32.87
flow_0.246,car,1,1,215976.221987,0.4,10.0,1,28.06
flow_0.247,car,1,1,203465.511701,0.8,8.0,1,22.6
flow_0.248,car,1,1,207894.244223,0.2,8.0,1,24.64
flow_0.249,car,1,1,199815.700287,0.6,4.0,1,20.63
flow_0.250,car,1,1,178783.525235,0.0,0.0,0,14.94
flow_0.251,car,1,1,162466.357243,0.4,0.0,0,12.16
flow_0.252,car,1,1,168100.629131,0.8,0.0,0,11.48
flow_0.253,car,1,1,172476.191383,0.2,0.0,0,9.2
flow_0.254,car,1,1,168762.426268,0.6,0.0,0,11.32
flow_0.255,car,1,1,168016.935597,0.0,0.0,0,12.37
flow_0.256,car,1,1,165024.78023,0.4,0.0,0,11.52
flow_0.257,car,1,1,170896.889465,0.8,0.0,0,10.22
flow_0.258,car,1,1,171946.73081,0.2,0.0,0,10.32
flow_0.259,car,1,1,174458.642901,0.6,0.0,0,10.67
flow_0.260,car,1,1,171628.764036,0.0,0.0,0,10.16
flow_0.261,car,1,1,173131.522723,0.4,0.0,0,10.86
flow_0.262,car,1,1,170914.529477,0.8,0.0,0,11.14
flow_0.263,car,1,1,320028.01294,0.2,58.0,1,73.13
flow_0.264,car,1,1,318797.478598,0.6,55.0,1,71.11
flow_0.265,car,1,1,318504.260556,0.0,55.0,1,70.18
flow_0.266,car,1,1,309693.221697,0.4,51.0,1,66.59
flow_0.267,car,1,1,282014.05329,0.8,43.0,1,60.42
flow_0.268,car,1,1,293115.596597,0.2,46.0,1,62.51
flow_0.269,car,1,1,290289.416002,0.6,41.0,1,59.43
flow_0.270,car,1,1,268154.678183,0.0,37.0,1,52.74
flow_0.271,car,1,1,274038.447718,0.4,35.0,1,53.77
flow_0.272,car,1,1,258700.429319,0.8,32.0,1,48.11
flow_0.273,car,1,1,270225.751885,0.2,33.0,1,49.93
flow_0.274,car,1,1,258433.896626,0.6,29.0,1,46.15
flow_0.275,car,1,1,254107.673085,0.0,26.0,1,43.39
flow_0.276,car,1,1,252821.958431,0.4,25.0,1,40.71
flow_0.277,car,1,1,249408.342579,0.8,22.0,1,39.24
flow_0.278,car,1,1,225664.16108,0.2,19.0,1,34.97
flow_0.279,car,1,1,235253.112574,0.6,18.0,1,32.57
flow_0.280,car,1,1,193395.791243,0.0,9.0,1,23.5
flow_0.281,car,1,1,221431.167188,0.4,13.0,1,28.12
flow_0.282,car,1,1,218229.119506,0.8,10.0,1,25.15
flow_0.283,car,1,1,192617.608644,0.2,3.0,1,19.85
flow_0.284,car,1,1,198251.808792,0.6,5.0,1,20.91
flow_0.285,car,1,1,194426.929667,0.0,3.0,1,18.33
flow_0.286,car,1,1,181734.557583,0.4,0.0,0,11.9
flow_0.287,car,1,1,171318.127585,0.8,0.0,0,9.93
flow_0.288,car,1,1,167494.099897,0.2,0.0,0,10.63
flow_0.289,car,1,1,161804.693144,0.6,0.0,0,10.95
flow_0.290,car,1,1,174471.322874,0.0,0.0,0,13.01
flow_0.291,car,1,1,166581.655654,0.4,0.0,0,10.74
flow_0.292,car,1,1,172037.708997,0.8,0.0,0,10.61
flow_0.293,car,1,1,181333.571738,0.2,0.0,0,10.46
flow_0.294,car,1,1,175216.901242,0.6,0.0,0,11.33
flow_0.295,car,1,1,165426.485702,0.0,0.0,0,10.41
flow_0.296,car,1,1,165664.249098,0.4,0.0,0,10.72
flow_0.297,car,1,1,322409.782379,0.8,57.0,1,74.11
flow_0.298,car,1,1,321366.309126,0.2,55.0,1,73.56
flow_0.299,car,1,1,321794.026162,0.6,55.0,1,71.02
flow_0.300,car,1,1,313989.538941,0.0,52.0,1,68.82
flow_0.301,car,1,1,308292.422989,0.4,48.0,1,64.85
flow_0.302,car,1,1,305661.401026,0.8,47.0,1,62.71
flow_0.303,car,1,1,297276.406152,0.2,44.0,1,61.28
flow_0.304,car,1,1,283999.422789,0.6,41.0,1,57.62
flow_0.305,car,1,1,286563.714626,0.0,41.0,1,56.54
flow_0.306,car,1,1,271525.848482,0.4,33.0,1,50.47
flow_0.307,car,1,1,277955.472917,0.8,35.0,1,50.77
flow_0.308,car,1,1,274747.157123,0.2,34.0,1,48.25
flow_0.309,car,1,1,268853.290072,0.6,30.0,1,45.94
flow_0.310,car,1,1,265482.431996,0.0,26.0,1,43.59
flow_0.311,car,1,1,243550.436778,0.4,24.0,1,40.44
flow_0.312,car,1,1,237674.279586,0.8,19.0,1,35.74
flow_0.313,car,1,1,238869.782247,0.2,20.0,1,35.57
flow_0.314,car,1,1,232432.973314,0.6,16.0,1,32.72
flow_0.315,car,1,1,231133.695778,0.0,15.0,1,30.7
flow_0.316,car,1,1,203243.375125,0.4,9.0,1,23.79
flow_0.317,car,1,1,195316.205796,0.8,5.0,1,20.77
flow_0.318,car,1,1,184953.147749,0.2,2.0,1,16.95
flow_0.319,car,1,1,190913.625287,0.6,2.0,1,17.28
flow_0.320,car,1,1,203119.033325,0.0,1.0,1,17.48
flow_0.321,car,1,1,163538.285281,0.4,0.0,0,10.96
flow_0.322,car,1,1,166578.940533,0.8,0.0,0,10.4
flow_0.323,car,1,1,167634.685294,0.2,0.0,0,11.2
flow_0.324,car,1,1,162593.315933,0.6,0.0,0,10.88
flow_0.325,car,1,1,160554.748327,0.0,0.0,0,11.77
